"restrict_id";"cook_time";"health_conds";"ingred_search";"restrictions"
101;"";"Diabetes";"";""
102;"";"High Blood Pressure";"";""
103;"";"Celiac Disease";"";""
201;"";"";"Pork";""
202;"";"";"Chicken";""
203;"";"";"Beef";""
204;"";"";"Cucumbers";""
205;"";"";"Cheese";""
206;"";"";"Peppers";""
207;"";"";"Fish";""
208;"";"";"Onions";""
209;"";"";"Nuts";""
210;"";"";"Vegetables";""
301;"";"";"";"No Carbohydrates"
302;"";"";"";"No Dairy"
303;"";"";"";"No Saturated Fats"
304;"";"";"";"No Sodium"
305;"";"";"";"Gluten Free"
306;"";"";"";"Nitrate Free"
307;"";"";"";"Sodium Free"
401;"15 Minutes";"";"";""
402;"30 Minutes";"";"";""
403;"45 Minutes";"";"";""
404;"60 Minutes";"";"";""
